N_dw,N_v,N_c,N_iw,N_s,F,IF_rc,IF_vb,IF_ve,IF_vc,PS,IF_p,IF_w,Date,Word,Number of reported results,Number in hard mode,R_h,R_t1,R_t2,R_t3,R_t4,R_t5,R_t6,R_tx,ATN,cluster_2,cluster_3,cluster_4,difficulty_mean_2,L_d,difficulty_freq_4
0,0.333333333,0.666666667,0,0,0.019409954,0,0,0,0,NN,1,1,2022/3/24,chest,169066,9318,0.055114571,1,14,35,31,14,5,1,3.68,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0,0.043621744,0,0,0,1,NN,1,1,2022/8/29,chief,34281,3072,0.089612322,1,6,32,38,18,5,0,3.81,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0,0.003298841,0,0,1,0,NN,1,1,2022/2/28,choke,251094,10521,0.041900643,1,8,30,36,18,6,1,3.87,2,2,1,easy,normal,easy
0,0.333333333,0.666666667,0,0,0.002566711,0,0,0,0,NN,1,0,2022/12/17,chord,22336,2088,0.093481375,0,7,39,38,13,3,0,3.66,2,2,1,easy,easy,easy
0,0.333333333,0.666666667,0,0,0.00073213,0,0,0,0,NN,1,1,2022/4/13,chunk,123255,7835,0.063567401,1,4,29,42,18,5,1,3.94,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0,0.00073213,0,0,1,0,NN,1,0,2022/9/17,chute,33418,3073,0.091956431,0,11,37,36,12,3,0,3.55,2,2,1,easy,easy,easy
0.5,0.333333333,0.666666667,0,0,0.001098195,0,0,0,0,NN,1,1,2022/7/26,cinch,39171,3507,0.08953052,0,2,15,24,22,25,13,5.35,1,3,2,hard,hard,hard+
0.5,0.333333333,0.666666667,0,0,0.075879726,1,0,0,0,NN,1,1,2022/9/8,class,31962,3001,0.093892748,0,4,21,32,22,13,7,4.57,1,1,4,hard,normal,hard+
0,0.333333333,0.666666667,0,0,0.002200646,0,0,0,0,VBG,1,1,2022/8/10,cling,37654,3312,0.087958783,0,4,20,34,27,13,2,4.37,2,1,4,hard,normal,hard
0,0.333333333,0.666666667,0,0,0.015749305,0,0,0,0,NN,0,0,2022/3/6,cloth,218595,9911,0.045339555,1,8,33,34,17,7,1,3.89,2,2,1,easy,normal,easy
0,0.333333333,0.666666667,0,0,0.001098195,0,0,0,0,NN,1,1,2022/8/25,clown,36737,3175,0.08642513,1,8,29,36,20,6,1,3.94,2,2,1,easy,normal,easy
0.5,0.666666667,0.333333333,0,0.5,0.00073213,1,0,1,0,NN,1,1,2022/4/6,comma,117856,7560,0.064146077,0,2,13,33,33,17,3,4.72,1,1,2,hard,normal,hard+
0.5,0.666666667,0.333333333,0,0.5,0,0,0,1,0,NN,0,1,2022/12/27,condo,20879,2012,0.096364768,0,2,17,35,29,14,3,4.54,1,1,4,hard,normal,hard+
0,0.666666667,0.333333333,0,0,0.586876998,0,0,0,1,MD,0,0,2022/1/29,could,313220,11592,0.037009131,1,7,29,35,20,8,1,4,2,2,1,easy,normal,normal
0.5,0.333333333,0.666666667,0,0.5,0.000366491,0,0,0,0,NN,0,1,2022/8/2,coyly,34909,3380,0.096823169,0,0,4,17,28,35,15,5.8,1,3,3,hard,hard,hard+
0,0.333333333,0.666666667,0,0,0.00073213,0,0,0,0,NN,1,0,2022/7/31,cramp,39250,3369,0.085834395,1,8,26,33,19,10,2,4.02,2,2,1,easy,normal,normal
0,0.333333333,0.666666667,0,0,0.000366491,0,0,0,0,NN,1,0,2022/1/8,crank,101503,1763,0.017368945,1,5,23,31,24,14,2,4.28,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0,0.000366491,0,0,0,1,NN,1,1,2022/6/1,creak,63241,4797,0.075852691,0,5,21,32,25,14,3,4.4,2,1,4,hard,normal,hard
0,0.333333333,0.666666667,0,0,0.004030971,0,0,0,0,NN,1,0,2022/5/28,crept,60069,4562,0.075945995,0,4,27,38,22,7,1,4.03,2,2,1,easy,normal,normal
0,0.333333333,0.666666667,0,0,0,0,0,0,0,NN,1,0,2022/1/23,crimp,269929,7630,0.028266692,1,5,28,38,20,7,1,3.99,2,2,1,easy,normal,normal
0.5,0.333333333,0.666666667,0,0.5,0,0,0,0,0,NN,1,1,2022/2/14,cynic,261521,10343,0.039549405,1,6,25,33,22,11,2,4.16,2,1,4,easy,normal,normal
0.5,0.333333333,0.666666667,0,0.5,0.006214591,0,0,0,0,NN,1,1,2022/10/7,dandy,29026,2840,0.097843313,0,2,11,23,29,24,11,5.28,1,3,2,hard,hard,hard+
0.5,0.666666667,0.333333333,0,0,0,0,0,1,0,NN,0,1,2022/5/16,delve,68349,5179,0.075772872,0,2,14,32,33,16,2,4.55,1,1,4,hard,normal,hard+
0,0.666666667,0.333333333,0,0.5,0,0,0,0,0,NN,1,1,2022/10/20,denim,28741,2769,0.096343203,0,5,29,40,20,5,0,3.87,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0.5,0.004767357,0,0,0,0,NN,1,1,2022/3/25,depot,150197,8562,0.057005133,0,5,29,36,20,7,1,3.93,2,2,1,easy,normal,easy
0,0.333333333,0.666666667,0,0,0.019409954,0,0,0,0,NN,1,0,2022/6/5,depth,56738,4329,0.076298072,0,6,28,39,20,6,1,3.98,2,2,1,easy,normal,normal
0.5,0.666666667,0.333333333,0,0,0.004030971,0,0,1,0,NN,1,1,2022/2/18,dodge,265238,10220,0.038531432,1,3,15,29,27,19,7,4.87,1,3,2,hard,hard,hard+
0.5,0.666666667,0.333333333,0,0.5,0.001834581,0,0,0,0,NN,1,1,2022/6/13,donor,53802,4142,0.076985986,0,3,27,38,23,7,1,4.06,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0,0.041799507,0,0,0,1,NN,1,1,2022/9/15,doubt,33344,3011,0.090301104,1,12,32,34,16,4,0,3.61,2,2,1,easy,easy,easy
0,0.666666667,0.333333333,0,0,0.023453695,0,0,0,1,NN,1,0,2022/11/5,dream,29743,2751,0.092492351,5,14,31,29,15,4,1,3.51,2,2,1,easy,easy,easy
0,0.333333333,0.666666667,0,0,0.030051377,0,0,0,0,NN,1,1,2022/1/11,drink,153880,3017,0.019606187,1,9,35,34,16,5,1,3.8,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0,0.038479383,0,0,1,0,NN,1,1,2022/11/23,drive,26663,2451,0.09192514,1,12,32,30,18,6,1,3.77,2,2,1,easy,easy,easy
0.5,0.333333333,0.666666667,0,0,0,1,0,0,0,NN,0,1,2022/6/28,droll,47312,3844,0.081247886,0,2,16,31,31,17,3,4.63,1,1,4,hard,normal,hard+
0.5,0.666666667,0.333333333,0,0.5,0,0,1,0,0,NN,0,0,2022/7/2,egret,41765,3515,0.084161379,0,3,14,33,33,15,2,4.55,1,1,4,hard,normal,hard+
0.5,0.666666667,0.333333333,0,0.5,0.000366491,0,1,0,0,NN,1,1,2022/12/1,eject,22628,2200,0.097224677,0,2,11,35,36,14,2,4.61,1,1,4,hard,normal,hard+
0.5,0.666666667,0.333333333,0,0.5,0.005490974,0,1,0,0,NN,1,1,2022/2/7,elder,288228,13340,0.046282804,1,3,13,24,30,24,5,4.86,1,3,2,hard,hard,hard+
0.5,1,0,0,0.5,0,0,1,1,0,NN,0,1,2022/7/25,elope,39228,3339,0.085117773,0,4,22,32,26,13,2,4.3,2,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0.5,0.016132396,0,1,0,0,NN,1,1,2022/10/10,enjoy,26878,2654,0.098742466,0,3,12,29,33,20,3,4.73,1,1,2,hard,normal,hard+
0,0.666666667,0.333333333,1,1,0.00073213,0,1,0,0,NN,1,0,2022/3/26,epoxy,149507,9376,0.062712783,0,2,13,31,33,18,3,4.7,1,1,2,hard,normal,hard+
0,1,0,1,0.5,0.032988409,0,1,0,1,JJ,1,1,2022/10/13,equal,27197,2677,0.098429974,0,5,23,35,25,11,2,4.3,2,1,4,hard,normal,hard
0.5,0.666666667,0.333333333,1,0.5,0.000366491,0,1,0,0,NN,0,1,2022/12/22,excel,20490,2034,0.099267936,0,1,13,34,34,15,2,4.57,1,1,4,hard,normal,hard+
0,0.666666667,0.333333333,1,0.5,0.02162337,0,1,0,0,NN,1,1,2022/10/18,exist,28612,2805,0.098035789,0,5,24,38,23,8,1,4.07,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,1,0.5,0.018345812,0,1,1,0,JJ,1,0,2022/12/25,extra,15554,1562,0.100424328,1,5,20,35,28,10,1,4.21,2,1,4,easy,normal,hard
0,0.666666667,0.333333333,0,0,0.001098195,0,0,1,0,NN,1,1,2022/5/11,farce,79446,5688,0.071595801,0,9,26,32,21,9,1,3.93,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0,0.008044915,0,0,0,1,NN,1,1,2022/10/24,fault,28947,2768,0.095623035,0,7,27,35,22,8,1,4.03,2,2,1,easy,normal,normal
0,0.666666667,0.666666667,0,0.5,0,0,0,0,0,NN,0,1,2022/1/12,favor ,137586,3073,0.022335121,1,4,15,26,29,21,4,4.69,1,1,2,hard,normal,hard+
0,0.666666667,0.333333333,0,0,0.001098195,0,0,0,1,NN,1,0,2022/11/24,feast,27705,2725,0.098357697,5,13,25,27,19,10,2,3.89,2,2,1,easy,normal,easy
0.5,0.666666667,0.333333333,0,0.5,0.012088656,0,0,0,0,JJR,1,0,2022/4/3,fewer,124532,7931,0.063686442,0,2,10,24,32,26,6,5.06,1,3,2,hard,hard,hard+
0,0.666666667,0.333333333,0,0,0.100439704,0,0,0,1,NN,1,1,2022/7/5,field,44578,3604,0.080847055,1,6,25,36,23,9,1,4.11,2,2,4,easy,normal,normal
0,0.666666667,0.333333333,0,0,0.002932776,0,0,0,1,NN,1,1,2022/4/18,flair,112383,7341,0.065321267,1,8,30,36,18,6,1,3.87,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0,0.001098195,0,0,0,1,NN,1,0,2022/6/12,float,56684,4323,0.076264907,1,12,30,32,18,6,1,3.79,2,2,1,easy,normal,easy
0,0.333333333,0.666666667,0,0,0.003664906,0,0,0,0,NN,1,1,2022/7/18,flock,42574,3548,0.083337248,0,4,22,37,27,9,1,4.21,2,1,4,easy,normal,hard
0.5,0.666666667,0.333333333,0,0,0.006980773,1,0,0,1,NN,1,1,2022/6/7,flood,58991,4440,0.075265718,0,3,20,40,28,8,1,4.24,2,1,4,easy,normal,hard
0.5,0.666666667,0.333333333,0,0,0.057917857,1,0,0,1,NN,1,1,2022/10/14,floor,28906,2752,0.095205148,0,3,23,44,24,6,0,4.07,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0,0,0,0,0,1,NN,1,1,2022/10/26,flout,30063,2904,0.096597146,0,6,28,37,21,7,1,4.01,2,2,1,easy,normal,normal
1,0.333333333,0.666666667,0,0,0.000366491,1,0,0,0,NN,1,1,2022/7/6,fluff,47344,4049,0.085522981,0,0,4,25,44,23,4,5.1,1,3,2,hard,hard,hard+
0,0.666666667,0.333333333,0,0.5,0.014642597,0,0,0,0,NN,1,0,2022/3/13,focus,179436,8937,0.049806059,1,4,23,36,24,10,1,4.12,2,2,4,easy,normal,normal
0.5,0.333333333,0.666666667,0,0.5,0.001834581,1,0,0,0,NN,1,1,2022/10/25,foggy,28953,2817,0.097295617,0,2,13,35,32,15,3,4.63,1,1,4,hard,normal,hard+
0,0.666666667,0.333333333,0,0.5,0.000366491,0,0,0,0,NN,1,1,2022/4/7,foray,117761,7575,0.064325201,0,2,14,31,31,19,4,4.79,1,3,2,hard,hard,hard+
0.5,0.666666667,0.333333333,0,0.5,0.000366491,0,0,1,0,NN,1,0,2022/5/1,forgo,77658,5699,0.073385871,0,1,9,26,37,23,3,4.86,1,3,2,hard,hard,hard+
0,0.666666667,0.333333333,0,0,0.196481094,0,0,0,1,NN,1,1,2022/3/28,found,173696,10613,0.061101004,1,6,17,22,20,21,14,5.18,1,3,2,hard,hard,hard+
0,0.666666667,0.333333333,0,0.5,0.001098195,0,0,0,0,NN,0,1,2022/4/19,foyer,108899,8198,0.075280765,0,2,10,19,19,23,26,6.03,1,3,3,hard,hard,hard+
0,0.666666667,0.333333333,0,0,0.027114344,0,0,1,0,NN,1,1,2022/2/8,frame,336236,15369,0.045708966,1,10,20,24,24,17,3,4.29,2,1,4,hard,normal,hard
0,0.333333333,0.666666667,0,0,0.000366491,0,0,0,0,NN,1,0,2022/6/4,froth,58263,4432,0.07606886,0,5,22,35,25,11,1,4.17,2,1,4,easy,normal,normal
0,0.666666667,0.333333333,0,0.5,0,0,0,1,0,NNS,1,1,2022/9/1,fungi,31903,2928,0.091778203,0,2,18,41,28,9,1,4.26,2,1,4,easy,normal,hard
0,0.666666667,0.333333333,0,0.5,0,0,0,0,0,NN,1,1,2022/5/20,gamer,69884,5238,0.074952779,1,4,17,28,26,18,6,4.7,1,1,2,hard,normal,hard+
0,1,0,1,0,0.000366491,0,0,1,1,NN,1,0,2022/8/28,gauze,30214,2866,0.094856689,0,2,11,24,31,25,8,5.18,1,3,2,hard,hard,hard+
0,0.333333333,0.666666667,0,0.5,0.000366491,0,0,0,0,NN,0,1,2022/6/29,gawky,45645,3957,0.086690766,0,1,5,22,33,28,10,5.38,1,3,2,hard,hard,hard+
0,0.666666667,0.333333333,0,0.5,0,0,0,1,0,NN,0,1,2022/5/10,gecko,74412,5489,0.073764984,0,2,16,38,29,12,2,4.41,2,1,4,hard,normal,hard
0,0.333333333,0.666666667,0,0,0.000366491,0,0,0,0,NN,1,1,2022/6/9,girth,60020,4665,0.077724092,0,6,23,33,23,12,3,4.3,2,1,4,hard,normal,hard
0.5,0.333333333,0.666666667,0,0,0.036308533,1,0,0,0,NN,1,1,2022/5/19,glass,70920,5162,0.072786238,0,4,19,33,27,14,3,4.46,1,1,4,hard,normal,hard
0,0.666666667,0.333333333,0,0,0.000366491,0,0,0,1,NN,0,1,2022/8/11,glean,37301,3243,0.086941369,0,6,23,37,24,8,1,4.07,2,2,1,easy,normal,normal
0,0.666666667,0.333333333,0,0,0,0,0,0,1,NN,1,1,2022/6/21,gloat,53342,4194,0.078624723,0,8,21,31,26,12,2,4.25,2,1,4,easy,normal,hard
0.5,0.666666667,0.333333333,0,0,0.005150448,1,0,0,1,NN,1,1,2022/6/6,gloom,58478,4548,0.077772838,0,2,14,35,35,13,1,4.49,1,1,4,hard,normal,hard
0,0.333333333,0.666666667,0,0.5,0.00770439,0,0,0,0,NN,1,1,2022/9/23,glory,31509,2893,0.091815037,0,6,30,39,19,5,0,3.83,2,2,1,easy,normal,easy
0,0,1,0,0,0,0,0,0,0,NN,0,1,2022/11/18,glyph,29208,2899,0.099253629,0,2,23,49,20,5,1,4.09,2,2,1,easy,normal,normal
0.5,1,0,0,0,0.00146426,1,0,1,1,NN,1,0,2022/6/11,goose,51958,4087,0.078659687,0,2,12,28,32,21,5,4.88,1,3,2,hard,hard,hard+
0.5,0.666666667,0.333333333,0,0,0.000366491,0,0,1,0,NN,1,0,2022/1/9,gorge,91477,1913,0.02091236,1,3,13,27,30,22,4,4.76,1,1,2,hard,normal,hard+
0,0.666666667,0.333333333,0,0,0.001098195,0,0,1,0,NN,1,0,2022/9/24,grate,32777,3077,0.093876804,1,14,29,28,16,8,3,3.86,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0,0.005150448,0,0,1,0,NN,1,1,2022/10/21,grove,28637,2794,0.097566086,0,4,18,30,28,17,3,4.54,1,1,4,hard,normal,hard+
0,0.666666667,0.333333333,0,0.5,0,0,0,0,1,NN,0,1,2022/8/16,gruel,35105,3087,0.087936191,0,3,19,39,29,9,1,4.28,2,1,4,hard,normal,hard
0.5,0.333333333,0.666666667,0,0.5,0.001834581,1,0,0,0,RB,0,0,2022/9/3,gully,31191,2877,0.092238146,0,1,9,27,31,25,7,5.12,1,3,2,hard,hard,hard+
0,0.666666667,0.333333333,0,0.5,0.001834581,0,0,0,1,NN,1,1,2022/5/3,hairy,85817,5941,0.069228708,1,8,24,33,23,10,1,4.06,2,2,1,easy,normal,normal
0.5,0.333333333,0.666666667,0,0.5,0.035925442,1,0,0,0,JJ,1,0,2022/11/27,happy,25206,2356,0.093469809,0,6,28,39,19,6,1,3.93,2,2,1,easy,normal,easy
0,0.666666667,0.333333333,0,0.5,0.001098195,0,0,0,0,NN,0,1,2022/12/29,havoc,20001,1919,0.095945203,0,2,16,38,30,12,2,4.46,1,1,4,hard,normal,hard
